id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка
2;2;5595;1665;345;829.641;2.991;13.942;4.366;1.375;9.576;12.554;4.564;4.443;4.344;7599.36;10.951;3.79;5.077;1.462;2.904;13.965;1.209;0.265;0.03
2;0;3950;1665;300;804.787;1.265;407.168;2.264;0.999;404.904;0.246;32.728;5.667;2.872;54492.211;405.903;2.007;12.409;5524.314;2.902;7.826;74.326;2.271;1.822
0;0;5498;1665;297;849.566;2.038;216.572;5.207;3.169;211.365;1.477;19.665;8.369;5.385;32742.94;214.534;3.606;17.886;1184.574;2.901;8.133;34.418;1.75;0.843
2;4;4773;1665;340;850.559;2.823;36.093;4.969;2.146;31.124;6.45;6.332;5.479;5.008;10542.091;33.27;4.402;5.614;20.447;2.9;9.123;4.522;0.714;0.111
0;4;5760;1665;307;824.655;2.552;37.115;4.334;1.782;32.781;5.156;5.702;4.692;4.209;9494.547;34.563;3.26;4.797;24.107;2.9;8.731;4.91;0.861;0.12
2;0;3763;1665;316;853.386;2.848;16.282;4.474;1.626;11.808;12.105;4.727;4.502;4.336;7870.205;13.434;3.624;5.065;3.127;2.897;10.992;1.768;0.374;0.043
0;4;4648;1665;275;816.418;1.876;120.018;3.062;1.187;116.956;1.004;11.089;5.408;3.839;18462.891;118.142;2.672;9.643;325.882;2.895;8.758;18.052;1.628;0.442
0;0;4344;1665;259;833.243;2.348;69.543;4.268;1.92;65.275;2.858;7.843;5.5;4.526;13058.955;67.195;3.509;7.381;82.264;2.892;9.226;9.07;1.156;0.222
2;2;4140;1665;319;845.27;2.558;18.341;4.133;1.575;14.207;9.98;4.591;4.297;4.092;7643.726;15.782;3.365;4.871;4.163;2.884;10.681;2.04;0.444;0.05
1;0;3856;1665;266;809.609;2.712;43.386;4.222;1.511;39.164;3.714;6.532;5.16;4.577;10875.996;40.674;3.672;5.306;40.354;2.876;8.101;6.353;0.973;0.156
0;4;4595;1665;269;844.13;1.901;148.41;2.98;1.079;145.43;0.737;11.54;5.384;3.768;19213.85;146.509;2.619;9.223;371.318;2.866;8.674;19.27;1.67;0.472
